Country,Population,O+,A+,B+,AB+,O-,A-,B-,AB-,Year,"Infant mortality for both sexes (per 1,000 live births)",Life expectancy at birth for both sexes (years),Life expectancy at birth for females (years),Life expectancy at birth for males (years),Population annual rate of increase (percent),Total fertility rate (children per women)
Albania,3074579,34.1,31.2,14.5,5.2,6,5.5,2.6,0.9,2022,8.2,76.8,79.5,74.5,-0.4,1.4
Algeria,43576691,40,30,15,4.25,6.6,2.3,1.1,0.75,2022,16.6,77.1,78.5,75.9,1.6,2.8
Argentina,45479118,48.9,31.54,8,2.45,4.9,3.16,0.8,0.25,2022,8.8,76.1,79.3,72.9,0.5,1.9
Armenia,3021324,29,46.3,12,5.6,2,3.7,1,0.4,2022,8.1,73.4,78.4,67.9,-0.2,1.6
Australia,25466459,38,30,12,4,7,6,2,1,2022,2.8,83.6,85.5,81.7,1,1.6
Austria,8859449,30,38,12,5,6,7,2,0.45,2022,2.5,82.4,84.6,80.2,0.2,1.5
Azerbaijan,10205810,29.8,30,21.1,9,3.3,3.4,2.4,1,2022,16.4,73.5,76.2,70.6,0.6,1.7
Bahrain,1505003,48.48,19.35,22.61,3.67,3.27,1.33,1.04,0.25,2022,5.4,79.2,80.5,78.2,0.9,1.8
Bangladesh,164098818,29.21,26.3,33.12,9.59,0.53,0.48,0.6,0.17,2022,20.4,73.7,76,71.5,1,2
Belarus,9441842,32.3,30.6,15.3,6.8,5.7,5.4,2.7,1.2,2022,1.9,73.2,78.4,68.1,-0.3,1.5
Belgium,11720716,38,34,8.5,4,7,6,1.5,1,2022,2.9,82.3,84.4,80.2,0.3,1.6
Bhutan,857423,38.15,29.27,23.86,8.41,0.06,0.04,0.04,0.01,2022,20.7,72.2,74.2,70.6,0.6,1.4
Bosnia and Herzegovina,3835586,31,36,12,6,5,7,2,1,2022,4.9,75.3,77.5,73.1,-0.8,1.3
Brazil,211715973,36,34,8,2.5,9,8,2,0.5,2022,12.3,73.4,76.6,70.3,0.5,1.6
Bulgaria,6966899,28,37.4,12.8,6.8,5,6.6,2.2,1.2,2022,5.3,71.5,75.1,68.3,-1.5,1.6
Burkina Faso,21382659,39.94,20.79,26.34,5.17,3.36,1.75,2.22,0.43,2022,47.4,59.8,61.5,58,2.5,4.7
Cambodia,16926984,46.7,27.2,18.5,4.9,1.3,0.8,0.5,0.1,2022,20.6,69.9,72.6,67.1,1,2.3
Cameroon,27744989,46.83,24.15,21.06,4.29,1.79,0.92,0.8,0.16,2022,45.8,61,62.6,59.4,2.6,4.4
Canada,37694085,39,36,7.6,2.5,7,6,1.4,0.5,2022,3.9,82.8,84.8,80.9,0.9,1.5
Chile,18186770,56.62,27.16,8.78,1.9,3.29,1.63,0.49,0.13,2022,4.9,79.5,81.9,77.2,0.1,1.5
China,1397897720,48,26.5,19,5.6,0.3,0.4,0.3,0.1,2022,5.9,78.6,81.3,76,0,1.2
Colombia,49084841,56.3,26.11,7.28,1.47,5.13,2.7,0.7,0.31,2022,10.9,73.7,77.1,70.3,0.3,1.7
Costa Rica,5097988,49.7,28.5,12.4,3,3.4,1.9,0.9,0.2,2022,6.8,77.3,80,74.8,0.5,1.5
Croatia,4227746,29,36,15,5,5,6,3,1,2022,3,79.2,82,76.4,-0.5,1.4
Cuba,11059062,45.8,33.5,10.2,2.9,3.6,2.8,1,0.2,2022,4,78.2,80.6,75.8,-0.2,1.4
Cyprus,1266676,35.22,40.35,11.11,4.72,3.85,3.48,0.87,0.4,2022,2.1,81.9,83.7,80.1,0.7,1.3
Denmark,5869410,35,37,8,4,6,7,2,1,2022,2.9,81.9,83.8,80,0.5,1.7
Dominican Republic,10499707,46.2,26.4,16.9,3.1,3.7,2.1,1.4,0.2,2022,24.4,74.2,77.5,71,0.9,2.2
Ecuador,16904867,75,14,7.1,0.5,2.38,0.7,0.3,0.02,2022,10.7,77.9,80.5,75.3,1.1,2
Egypt,104124440,31.94,35.12,23.12,9.74,,,,,2022,16,70.2,72.6,67.9,1.5,2.9
El Salvador,6481102,62,23,11,1,1,1,0.7,0.3,2022,9.9,71.5,75.8,66.8,0.4,1.8
Estonia,1228624,29.5,30.8,20.7,6.3,4.3,4.5,3,0.9,2022,1.8,79.2,83,75,-0.2,1.7
Ethiopia,108113150,39,28,21,5,3,2,1,1,2022,31.9,65.6,68.9,62.6,2.5,4.1
Fiji,935974,43,33.3,16.5,4.8,1,0.7,0.5,0.2,2022,17.9,68.3,70.2,66.5,0.7,2.5
Finland,5571665,28,35,16,7,5,6,2,1,2022,1.6,82.4,84.9,79.8,0.1,1.4
France,67848156,36.5,38.2,7.7,2.5,6.5,6.8,1.4,0.4,2022,3.3,83.2,86,80.4,0.2,1.8
Gabon,2284912,57.55,20.52,17.19,2.54,1.35,0.48,0.41,0.06,2022,29.5,65.7,68.4,63.4,2,3.5
Georgia,4933674,34.8,32.3,11.9,6,6.2,5.7,2.1,1,2022,8.2,71.6,76.5,66.8,-0.5,2.1
Germany,80159662,35,37,9,4,6,6,2,1,2022,3,81,83.5,78.5,-0.1,1.5
Ghana,29340248,53.8,17.6,18.3,2.8,4.5,1.3,1.3,0.2,2022,31.6,63.9,66.1,61.8,1.9,3.5
Greece,10607051,37.8,32.2,11,4,6.6,5.7,2,0.7,2022,3.4,80.6,83.3,78,-0.5,1.4
Guinea,12527440,46.88,21.64,22.86,4.52,2,0.9,1,0.2,2022,63.9,59,60.2,57.6,2.4,4.3
Honduras,9235340,57.5,27,7.8,2.5,2.7,1.7,0.6,0.2,2022,12.8,70.7,73.2,68.5,1.5,2.3
Hungary,9771827,27,33,16,8,5,7,3,1,2022,3.3,75,78.3,71.6,5.6,1.6
Iceland,350734,46.8,27.2,9,2,8.2,4.8,1.6,0.4,2022,1.4,82.8,84.3,81.4,0.7,1.7
India,1339330514,28,18.8,32,14.7,2.03,1.36,2,0.48,2022,26.3,67.7,69.4,66.3,0.7,2
Indonesia,267026366,36.82,25.87,28.85,7.96,0.18,0.13,0.15,0.04,2022,17.7,68.3,70.4,66.2,0.6,2.2
Iraq,38872655,25.5,24,32.6,7.4,3.6,2.7,2.7,0.9,2022,17.6,71.3,73.4,69.2,2.2,3.4
Ireland,5176569,47,26,9,2,8,5,2,1,2022,2.5,82.7,84.4,81,0.7,1.8
Israel,8675475,32,34,17,7,3,4,2,1,2022,2.9,82.6,84.5,80.6,1.5,2.9
Italy,62402659,39,36,7.5,2.5,7,6,1.5,0.5,2022,2.1,84.1,86,82,-0.3,1.3
Jamaica,2808570,47,23,20,3,3.5,2,1,0.5,2022,11.3,70.6,72.7,68.5,-0.1,1.3
Japan,125507472,29.9,39.8,19.9,9.9,0.15,0.2,0.1,0.05,2022,1.7,84.8,87.8,81.8,-0.5,1.3
Jordan,10909567,33.03,32.86,16.56,6.28,4.4,3.97,2.06,0.84,2022,12.4,74.2,76.7,72.1,0.5,2.8
Kazakhstan,19091949,30.7,29.8,24.2,8.3,2.3,2.2,1.8,0.7,2022,8.5,69.5,73,65.8,1.1,3
Kenya,53527936,45.6,25.2,21.28,4.2,1.8,1,0.9,0.02,2022,28,62.1,64.7,59.6,2,3.3
Latvia,1881232,30.6,31,17,6,5.4,6,3,1,2022,2.8,75.9,80.1,71.5,-1.1,1.6
Lebanon,5469612,38.4,32.3,9.5,3.2,7.7,6.5,1.7,0.7,2022,6.2,74.4,76.6,72.2,-2.3,2.1
Libya,6890535,42.64,28.86,11.19,4.5,6.26,4.24,1.64,0.67,2022,9.1,72.2,74.8,69.7,1.1,2.4
Liechtenstein,39137,34,37,10,4,6,6.5,1.8,0.7,2022,5,84.7,86.1,83,0.7,1.5
Lithuania,2731464,36,33,11,4,7,6,2,1,2022,2.8,74.3,79.1,69.5,-1.4,1.6
Malaysia,32652083,34.32,30.35,27.37,7.46,0.17,0.15,0.14,0.04,2022,5.9,76.3,78.8,74,1.1,1.8
Malta,457267,38,41,7,3,5,4.5,1,0.5,2022,5.3,83.7,85.7,81.6,0.3,1.2
Mauritania,4005475,46.3,26.68,17.47,3.85,2.8,1.6,1.1,0.2,2022,43.6,64.7,66.4,63,2.6,4.3
Mauritius,1379365,38.3,26,25,6.7,1.7,1,1,0.3,2022,13.4,74,77.1,71,0.1,1.4
Mexico,128649565,59.09,26.23,8.53,1.73,2.73,1.21,0.4,0.08,2022,10.9,74.8,78.2,71.5,0.8,1.8
Mongolia,3198913,38.45,22.89,29.93,7.83,0.35,0.21,0.27,0.07,2022,8.8,72.7,77.4,68.1,1.5,2.8
Morocco,35561654,42.3,30.8,14,4,4.5,3.1,1.5,0.4,2022,14.4,75,77.2,72.9,1,2.3
Myanmar,56590071,35.7,23.8,32.7,6.95,0.3,0.2,0.3,0.05,2022,32.7,67.3,70.5,64.2,0.7,2.1
Namibia,2678191,50.58,20.49,20.21,1.02,4.22,1.71,1.69,0.08,2022,29.8,58.1,61.7,54.6,1.4,3.2
Nepal,30327877,35.2,34.3,27.1,2.6,0.3,0.2,0.2,0.1,2022,20.3,70.5,72.4,68.6,1.2,2
Netherlands,17280397,38.2,36.6,7.7,2.5,6.8,6.4,1.3,0.5,2022,3,82.5,83.9,80.9,0.3,1.6
New Zealand,4925477,38,32,9,3,9,6,2,1,2022,3.5,83,84.7,81.3,0.8,1.8
Nicaragua,6243931,62,20,11,4,1,1,0.7,0.3,2022,12.3,74.6,77.6,71.6,1.4,2.3
Nigeria,219463862,50.23,21.61,19.59,3.47,2.7,1.16,1.05,0.19,2022,71.9,53.6,54,53.3,2.4,5.1
North Macedonia,2125971,30,34,15,6,5,6,3,1,2022,4.9,73.9,76.2,71.7,-0.5,1.4
Norway,5467439,33.2,41.6,6.8,3.4,5.8,7.4,1.2,0.6,2022,1.9,83.4,85.1,81.7,0.7,1.5
Pakistan,238181034,30.04,21.53,30.24,8.83,3.1,2.22,3.13,0.91,2022,51.8,66.4,68.9,64.1,2,3.4
Papua New Guinea,7259456,48,37.2,9.6,2.8,1,0.8,0.4,0.2,2022,33.8,66,69.2,63.4,1.9,3.2
Paraguay,7272639,56.07,28.32,4.72,1.38,5.89,2.97,0.49,0.15,2022,16.4,70.5,73.6,67.6,1.1,2.4
Peru,31914989,70,18.4,7.8,1.6,1.4,0.5,0.28,0.02,2022,9.7,73.4,75.5,71.3,0.8,2.2
Philippines,109180815,45.9,22.9,24.9,5.97,0.1,0.1,0.1,0.03,2022,21.6,72.2,74.2,70.2,1.5,2.7
Poland,38282325,31,32,15,7,6,6,2,1,2022,3.4,77,80.8,73.2,8.1,1.5
Portugal,10302674,36.2,39.8,6.6,2.9,6.1,6.8,1.1,0.5,2022,2.4,82.2,84.9,79.3,-0.2,1.4
Romania,21230362,28,37,14,7,5,6,2,1,2022,5.4,74.1,77.6,70.7,4,1.7
Saudi Arabia,34173498,47.8,23.9,17,4,4,2,1,0.3,2022,5.5,77.9,79.5,76.7,1.5,2.4
Serbia,7012165,31.92,35.28,12.6,4.2,6.08,6.72,2.4,0.8,2022,4.4,74.1,77,71.3,-1.1,1.5
Singapore,6209660,44.7,23.9,24.5,5.6,0.6,0.3,0.3,0.1,2022,1.7,84.1,86.3,82,0.7,1
Slovakia,5440602,27.2,35.7,15.3,6.8,4.8,6.3,2.7,1.2,2022,4.7,75.3,78.8,71.9,7.2,1.6
Slovenia,2102678,31,33,12,6,7,7,3,1,2022,1.4,82.1,84.6,79.6,0,1.6
Somalia,12094640,52.8,19.36,12.32,3.52,7.2,2.64,1.68,0.48,2022,66.2,56.1,58.2,54.1,3,6.2
South Africa,56463617,39,32,12,3,6,5,2,1,2022,28.1,61.5,64.2,58.6,0.8,2.3
Sri Lanka,23044123,43.42,21,25.78,5.13,2.12,1.04,1.25,0.26,2022,5.5,76.6,80.2,72.9,0.3,2
Spain,50015792,35,36,8,2.5,9,7,2,0.5,2022,2.2,83.9,86.5,81.2,-0.1,1.3
Sudan,45561556,48,27.7,15.2,2.8,3.5,1.8,0.8,0.2,2022,37.5,65.6,68.2,63,2.6,4.4
Sweden,10202491,32,37,10,5,6,7,2,1,2022,1.8,83.5,85.1,81.9,0.6,1.7
Switzerland,8403994,35,38,8,4,6,7,1,1,2022,3.1,84.3,85.9,82.5,0.7,1.5
Thailand,68977400,40.8,16.9,36.8,4.97,0.2,0.1,0.2,0.03,2022,7.1,79.7,83.9,75.5,0.2,1.3
Tunisia,11811335,41.86,28.21,16.38,4.55,4.14,2.79,1.62,0.45,2022,13.5,74.3,77.4,71.4,0.8,2.1
Uganda,44712143,49.29,24.11,20.29,4.41,1.01,0.49,0.41,0.09,2022,30.4,63.6,65.7,61.5,2.8,4.5
Ukraine,43922939,32,34,15,5,5,6,2,1,2022,7.1,68.6,73.9,63.5,-18.4,1.3
United Arab Emirates,9992083,44.1,21.9,20.9,4.3,4.3,2.1,2,0.4,2022,5.2,79.2,81.4,77.7,0.8,1.4
United Kingdom,65761117,35,30,9,2,13,8,2,1,2022,3.2,82.2,83.8,80.4,0.3,1.6
Uzbekistan,30842796,29.42,30.93,24.98,9.27,1.68,1.77,1.42,0.53,2022,12.4,71.7,74.3,69,1.6,2.8
Yemen,29884405,47.84,27.5,15.32,2.14,3.66,2.1,1.17,0.16,2022,46.8,63.7,67.2,60.5,2.2,3.7
Zimbabwe,14546314,63.3,18.5,14.6,0.99,1.7,0.5,0.4,0.01,2022,37.4,59.4,62.1,56.4,2.1,3.4
